Sigla da IES;Instituição;Projeto;Responsável
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Adesividade e resistência de pátinas formadas em aços resistentes a intemperismos;HENARA LILLIAN COSTA MURRAY
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Modelagem Computacional e Fabricação de um Skimmer Aplicado ao Cultivo de Microalgas;WALDIR TERRA PINTO
FEEVALE;UNIVERSIDADE FEEVALE;PLATAFORMA HORUS E A MEDIAÇÃO DE UM JOGO DIGITAL ATIVO NA AVALIAÇÃO DO EQUILÍBRIO DE CRIANÇAS E DE PESSOAS IDOSAS;JORGE LUIS VICTORIA BARBOSA
FEEVALE;UNIVERSIDADE FEEVALE;PLATAFORMIZAÇÃO DA PRODUÇÃO CULTURAL NO BRASIL;SANDRA PORTELLA MONTARDO
FEEVALE;UNIVERSIDADE FEEVALE;CRIATIVIDADE, ENSINO E MINECRAFT: A ADOÇÃO DE ESTRATÉGIAS LÚDICAS PARA O ENSINO DIGITAL EM TEMPOS PANDÊMICOS;CRISTIANO MAX PEREIRA PINHEIRO
FEEVALE;UNIVERSIDADE FEEVALE;DETECÇÃO E CARACTERIZAÇÃO DE VÍRUS ENTÉRICOS EM PROPRIEDADES LEITEIRAS NA REGIÃO DO PARANHANA, RIO GRANDE DO SUL, BRASIL.;MARCIA REGINA LOIKO
FEEVALE;UNIVERSIDADE FEEVALE;PLATAFORMIZAÇÃO DA PRODUÇÃO CULTURAL NO BRASIL;SANDRA PORTELLA MONTARDO
FEEVALE;UNIVERSIDADE FEEVALE;POLÍTICAS PÚBLICAS NO RIO GRANDE DO SUL: UM MAPEAMENTO SOBRE OS RECURSOS INVESTIDOS NOS SETORES CRIATIVOS;CRISTIANO MAX PEREIRA PINHEIRO
FEEVALE;UNIVERSIDADE FEEVALE;ESTUDO DE RESINAS POLIMÉRICAS PARA REPARO E PREVENÇÃO DA ABRASÃO EM DORMENTES DE CONCRETO;DAIANA CRISTINA METZ ARNOLD
FEEVALE;UNIVERSIDADE FEEVALE;POLÍTICAS PÚBLICAS NO RIO GRANDE DO SUL: UM MAPEAMENTO SOBRE OS RECURSOS INVESTIDOS NOS SETORES CRIATIVOS;CRISTIANO MAX PEREIRA PINHEIRO
FEEVALE;UNIVERSIDADE FEEVALE;FASE II - CORONA-ÔMICA BR MCTI REDE NACIONAL DE GENOMAS, EXOMA E TRANSCRIPTOMA DE COVID-19;FERNANDO ROSADO SPILKI
FEEVALE;UNIVERSIDADE FEEVALE;ESTUDO E DESENVOLVIMENTO DE METODOLOGIA PARA RECUPERAÇÃO E ANÁLISE DAS TÉCNICAS PARA IDENTIFICAÇÃO E CARACTERIZAÇÃO DE MICROPLÁSTICOS EM SOLOS;VANUSCA DALOSTO JAHNO
FEEVALE;UNIVERSIDADE FEEVALE;ANÁLISE DA RELAÇÃO ENTRE SÍNDROME DA FRAGILIDADE, ESTRATÉGIAS DE SELEÇÃO, OTIMIZAÇÃO E COMPENSAÇÃO, FADIGA EMOCIONAL E DERMATOGLIFIA EM PESSOAS IDOSAS;GERALDINE ALVES DOS SANTOS
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Desenvolvimento de Células Solares Bifaciais com Processo Inovador para a Difusão dos Dopantes;IZETE ZANESCO
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Termovisão: Plataforma de software e hardware para controle de qualidade de juntas soldadas, voltada à otimização de soldabilidade, tenacidade à fratura e corrosão;HENARA LILLIAN COSTA MURRAY
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Estruturação iTec/EMBRAPII - Soluções Tecnológicas em Automação e Sistemas Robóticos para o Setor Industrial e iTec/FURG;SILVIA SILVA DA COSTA BOTELHO
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Otimização de forma aplicada a componentes fabricados via processos de fundição;DANIEL MILBRATH DE LEON
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Centro de Pesquisa e Inovação em Eletroquímica e Materiais Avançados Especializado em Acumuladores de Energia para Aplicação Automotiva;MARCAL JOSE RODRIGUES PIRES
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;PLATAFORMA INTEGRATIVA DE VIGILÂNCIA E MONITORAMENTO DE LEISHMANIOSE VISCERAL PARA DEFINIÇÃO DE ESTRATÉGIAS E POLÍTICAS DE SAÚDE;FABIO PAULO BASSO
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Produção de hidrogênio verde para uso em tecnologias power-to-X offshore: perspectivas de integração tecnológica e avaliação de desempenho ambiental no contexto de Captura, Utilização e Armazenamento de Carbono (CCUS).;FELIPE DALLA VECCHIA
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Desenvolvimento de materiais avançados sustentáveis empregando resíduos industriais e suas aplicações tecnológicas e ambientais - CLUSTER INOVACLEAN RS;ROSANE ANGELICA LIGABUE
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Otimização estrutural aplicada a componentes voltados ao transporte rodoviário de cargas;DANIEL MILBRATH DE LEON
ATITUS EDUCAÇÃO;FACULDADE ATITUS EDUCAÇÃO PASSO FUNDO;Análise de um modelo de transferência de fabricação digital para a habitação social. Estudo de caso Brasil e Colômbia.;GRACE TIBERIO CARDOSO
UPF;UNIVERSIDADE DE PASSO FUNDO;Interações solo, planta e atmosfera e o manejo de sistemas de produção irrigados e de sequeiro;MATEUS POSSEBON BORTOLUZZI
ATITUS EDUCAÇÃO;FACULDADE ATITUS EDUCAÇÃO PASSO FUNDO;Programa MAI/DAI (Fundação Meridional / IMED);ANDREA QUADRADO MUSSI
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Rejeitos de Mineração: Resposta Mecânica sob Carregamento Multiaxial;NILO CESAR CONSOLI
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Programa Mestrado e Doutorado Acadêmico para Inovação - MAI/DAI UCS;ROBINSON CARLOS DUDLEY CRUZ
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Suplementos e bioprodutos derivados de fontes alternativas para o bem-estar animal;CLAUDIO MARTIN PEREIRA DE PEREIRA
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;P&D/EMBRAPII - DETECÇÃO DE ARCO ELÉTRICO SÉRIE NO LADO CC DE SISTEMAS DE GERAÇÃO FOTOVOLTAICA;HUMBERTO PINHEIRO
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Desenvolvimento de materiais avançados sustentáveis empregando resíduos industriais e suas aplicações tecnológicas e ambientais - CLUSTER INOVACLEAN – RS;JOAO HENRIQUE ZIMNOCH DOS SANTOS
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;BIOFÁBRICAS PARA PRODUÇÃO MASSAL DE AGENTES BIOLÓGICOS E BIOCONVERSÃO;ANDREAS KOHLER
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;DETECÇÃO RÁPIDA DE NEMATOIDES DE IMPORTÂNCIA AGRONÔMICA UTILIZANDO MÉTODOS MOLECULARES;ALEXANDRE RIEGER
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DEMONSTRADOR DO PROCESSO DE MANUFATURA ADITIVA EM AREIA DE FUNDICAO PARA GEOMETRIAS COMPLEXAS - DMA2F;RODRIGO ROSSI
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;IdeiaWare: Ferramenta Computacional Colaborativa: Fase para promover a Cocriação;REJANE FROZZA
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;Living Vales - Ambiente para promoção, qualificação e desenvolvimento de projetos em gestão estratégica de dados na Região dos Vales;LEONEL PABLO CARVALHO TEDESCO
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Data Symbion Environmental intelligence;EDUARDO NUNES BORGES
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;iCrane - Guindaste Inteligente e Seguro;SILVIA SILVA DA COSTA BOTELHO
UCS;UNIVERSIDADE DE CAXIAS DO SUL;ZYMOMONAS – Desenvolvimento de filmes ativos e nanocompósitos para incorporação de ácidos aldônicos produzidos por células imobilizadas de Zymomonas mobilis;ELOANE MALVESSI
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;NANOTECNOLOGIA APLICADA AO DESENVOVIMENTO DE NOVOS MATERIAIS;GABRIELA SILVEIRA DA ROSA
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;(EMBRAPII) AUROS ROBOTICS - Monitoramento de Fruticultura por Visão Computacional;ALESSIO ALMADA DA COSTA
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;iCrane - Guidaste Inteligente;SILVIA SILVA DA COSTA BOTELHO
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;DESENVOLVIMENTO DE CULTIVARES DE LINHAÇA PARA O NORTE DO RIO GRANDE DO SUL;VOLMIR SERGIO MARCHIORO
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;beeBot - Inspeção Indoor de Cascos FPSO;SILVIA SILVA DA COSTA BOTELHO
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Enogastronomia: Possibilidades e potencialidades regionais;HERNANDA TONINI
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Desenvolvimento e aprimoramento de aplicativo mobile conectado com estações meteorológicas para rastreabilidade da produção agrícola e monitoramento das condições climáticas;MARCUS ANDRE KURTZ ALMANCA
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Aplicação de um plano de negócios em um vinícola familiar e desenvolvimento de experiências enoturisticas;TATIANE PELLIN CISLAGHI
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Diagnóstico e sistema de acompanhamento para implantação de programa de gestão para a sustentabilidade;SHANA SABBADO FLORES
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Diagnóstico de Indicação Geográfica nos Campos de Cima da Serra.;SHANA SABBADO FLORES
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Click-Up: implantação de uma pré-incubadora no IFRS Campus Bento Gonçalves;RONALDO SERPA DA ROSA
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;PIPA IFmakeRS – Pesquisar, Inovar, Prototipar e Aprender;DELAIR BAVARESCO
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;ORUS 2.0 - Pesquisa Tecnológica em Sistemas Autônomos e Robóticos Para a Indústria;PAULO LILLES JORGE DREWS JUNIOR
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Desenvolvimento de materiais avançados sustentáveis empregando resíduos industriais e suas aplicações tecnológicas e ambientais - CLUSTER INOVACLEAN-RS;GILBER RICARDO ROSA
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;DACCS - Captura e Armazenamento de Carbono Direto do Ar: estudo da integração e otimização dos processos para remoção de gases de efeito estufa;FELIPE DALLA VECCHIA
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;Diagnóstico precoce de infecções relacionadas a cateteres venosos utilizando imagem termográfica por infravermelho em dispositivo móvel;MARI ANGELA GAEDKE
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;REPOSITÓRIO DIGITAL TATU – INOVAÇÃO NA PESQUISA EM HISTÓRIA DA EDUCAÇÃO;ALESSANDRO CARVALHO BICA
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DESENVOLVIMENTO DE  CRITÉRIOS DE ANÁLISE DE SUPORTES DE RISER - FADIGA E AVALIAÇÃO DE DEFEITOS;ROGERIO JOSE MARCZAK
UCS;UNIVERSIDADE DE CAXIAS DO SUL;ATE BR;MARCELO GODINHO
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Rede de Inteligência Artificial Ética e Segura - RAIES;NYTHAMAR HILARIO FERNANDES DE OLIVEIRA JUNIOR
FEEVALE;UNIVERSIDADE FEEVALE;Capacidades para Cocriação de Valor Social;SERJE SCHMIDT
FEEVALE;UNIVERSIDADE FEEVALE;RS³ - Conexão, Capacitação e Captação para o Ecossistema Regional de Inovação de TIC;PAULO RICARDO MUNIZ BARROS
FEEVALE;UNIVERSIDADE FEEVALE;Turismo e desenvolvimento socioeconômico no Vale Germânico/RS, no contexto de territórios criativos;MARY SANDRA GUERRA ASHTON
UCS;UNIVERSIDADE DE CAXIAS DO SUL;IHR-1 Fadiga;ALEXANDRE VIECELI
FEEVALE;UNIVERSIDADE FEEVALE;Circulando: Economia circular compartilhada;VANUSCA DALOSTO JAHNO
FEEVALE;UNIVERSIDADE FEEVALE;INCT Vigilância Genômica de Vírus e Saúde Única;FERNANDO ROSADO SPILKI
FEEVALE;UNIVERSIDADE FEEVALE;PROGRAMA INSTITUCIONAL DE BOLSAS DE PÓS-GRADUAÇÃO (PIBPG);FERNANDO ROSADO SPILKI
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;DETECÇÃO RÁPIDA DE PATÓGENOS TRANSMITIDOS PELA CIGARRINHA (Dalbulus maidis) NA CULTURA DO MILHO (Zea mays);ALEXANDRE RIEGER
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;BIOESTIMULANTES PARA APLICAÇÃO EM SEMENTES: EXPLORAÇÃO BIOTECNOLÓGICA DE MICROALGAS;ROSANA DE CASSIA DE SOUZA SCHNEIDER
FEEVALE;UNIVERSIDADE FEEVALE;Monitoramento da farmacoterapia com inibidores da tirosina quinase nilotinibe e dasatinibe em pacientes com leucemia mieloide crônica resistentes ao imatinibe: desenvolvimento de estratégias bioanaliticas e abordagem farmacogenética;MARINA VENZON ANTUNES
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;BIOESTIMULANTES PARA APLICAÇÃO EM SEMENTES: EXPLORAÇÃO BIOTECNOLÓGICA DE MICROALGA;ROSANA DE CASSIA DE SOUZA SCHNEIDER
FEEVALE;UNIVERSIDADE FEEVALE;Trabalho, Informalidade e Precariado: panorama do mercado de trabalho informal de sujeitos negros na Região do Vale dos Sinos;SUELI MARIA CABRAL
FEEVALE;UNIVERSIDADE FEEVALE;PESQUISA E CARACTERIZAÇÃO DE VÍRUS EM MORCEGOS FILOSTOMÍDEOS E MOLOSSÍDEOS EM ÁREAS URBANAS, PERIURBANAS E RURAIS NA REGIÃO METROPOLITANA DE PORTO ALEGRE E VALE DO RIO DOS SINOS, RIO GRANDE DO SUL;MATHEUS NUNES WEBER
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Capacitação empresarial em sistemas de gestão da qualidade e segurança de alimentos nas vinícolas no Brasil;TATIANE PELLIN CISLAGHI
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Levantes: Sistema de monitoramento e acionamento inteligente de bombas para irrigação por inundação em lavouras de arroz;VAGNER SANTOS DA ROSA
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Desenvolvimento de plataforma para autoavaliação da sustentabilidade na vitivinicultura;SHANA SABBADO FLORES
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;IGS: Prospecção, inovação e Sustentabilidade em indicações geográficas;SHANA SABBADO FLORES
UCS;UNIVERSIDADE DE CAXIAS DO SUL;DESENVOLVIMENTO DE MÉTODOS MOLECULARES DE ANÁLISE LABORATORIAL E ESTUDO EPIDEMIOLÓGICO DOS RETROVÍRUS FELINOS FELV (FELINE LEUKEMIA VIRUS) E FIV (FELINE IMMUNODEFICIENCY VIRUS);ANDRE FELIPE STRECK
UCS;UNIVERSIDADE DE CAXIAS DO SUL;TEXTENE EMBRAPII;DIEGO PIAZZA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;GRAPHFILTER;DIEGO PIAZZA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COMPAG;DIEGO PIAZZA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Blindar FINEP;ADEMIR JOSE ZATTERA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;TOGRAPH;DIEGO PIAZZA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;IMOGRAFENO;JADNA CATAFESTA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;GRAFIMEC;DIEGO PIAZZA
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Soluções de propulsão a hidrogênio para motores de combustão interna de máquinas agrícolas;MARIO EDUARDO SANTOS MARTINS
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;TideSat – uma startup de sensoriamento remoto geodésico;FELIPE GEREMIA NIEVINSKI
IFSUL;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE;Estudo de biocarvões obtidos a partir pirólise da casca do arroz para adsorção de Fármacos;PEDRO JOSE SANCHES FILHO
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Gestão estratégica na viticultura familiar;RAQUEL BREITENBACH
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Aumento de Estabilidade e Aumento de Escala de Células Solares de Perovskitas Impressas;SERGIO DA SILVA CAVA
IFSUL;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE;Influência das madeiras brasileiras no envelhecimento de vinhos tintos: aspectos tecnológicos, sensoriais e analíticos;RICARDO LEMOS SAINZ
IFSUL;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE;Uso de bagaço de Vinificação para Obtenção de Bioetanol;RICARDO LEMOS SAINZ
UPF;UNIVERSIDADE DE PASSO FUNDO;Imobilização de microrganismos em biochar de resíduos de uva para incorporação em fertilizante NPK;JEFERSON STEFFANELLO PICCIN
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Robótica Educacional: qualificação docente no contexto da Educação 4.0;SILVIA DE CASTRO BERTAGNOLLI
UPF;UNIVERSIDADE DE PASSO FUNDO;RECICLAGEM DE MEMBRANAS DE OSMOSE INVERSA PARA PÓS-TRATAMENTO DE EFLUENTES;VANDRE BARBOSA BRIAO
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Desenvolvimento de materiais avançados sustentáveis empregando resíduos industriais e suas aplicações tecnológicas e ambientais - CLUSTER INOVACLEAN – RS;JOAO HENRIQUE ZIMNOCH DOS SANTOS
UCS;UNIVERSIDADE DE CAXIAS DO SUL;OBSERVATÓRIO DE TURISMO DA SERRA GAÚCHA;MICHEL BREGOLIN
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Suplementos e bioprodutos derivados de fontes alternativas para o bem-estar animal: Um projeto de inovação tecnológica;CLAUDIO MARTIN PEREIRA DE PEREIRA
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;EXTRAÇÃO DE PURIFICAÇÃO DE CANABIDIOL A PARTIR DE MACONHA APREENDIDA PELA POLÍCIA FEDERAL;FLAVIO ANASTACIO DE OLIVEIRA CAMARGO
FEEVALE;UNIVERSIDADE FEEVALE;INDÚSTRIA 5.0 NO PROCESSO DE FABRICAÇÃO DE CALÇADOS;DUSAN SCHREIBER
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Entendendo as políticas públicas de forma abrangente e comparável: proposta de automatização da avaliação dos elementos do desenho;LUCIANA LEITE LIMA
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Entendendo as políticas públicas de forma abrangente e comparável: proposta de automatização da avaliação dos elementos do desenho;LUCIANA LEITE LIMA
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Desenvolvimento e validação de diagnóstico de fertilidade em ruminantes baseados em microRNAs espermáticos;VINICIUS FARIAS CAMPOS
UFRGS-LITORAL NORTE;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - CAMPUS LITORAL NORTE;Avaliação de desempenho acústico de sistemas construtivo em protótipos.;DANIEL TREGNAGO PAGNUSSAT
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;GT-IMPACTO: Plataforma de Capacitação em Cibersegurança  Baseada em Modelagem e Simulação de Aspectos e Impactos Econômicos de Ciberataques;JEFERSON CAMPOS NOBRE
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Serras circulares com desempenho e/ou durabilidade melhorados através da aplicação de grafeno;RODRIGO PANOSSO ZEILMANN
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;InovaAgro - Incubadora de empresas de base tecnológica para a agricultura, pecuária e agroindústria;BRUNA DA ROSA CURCIO
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Caracterização Genética e Tecnológica de Leveduras em Vinhos de Altitude: Estudo em Vinhedos de Sauvignon Blanc.;MARCOS ROBERTO DOBLER STROSCHEIN
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Produção de mudas de alface utilizando vermicomposto elaborado com resíduos enológicos.;JANICE REGINA GMACH BORTOLI
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;MODELAGEM NUMÉRICO-EXPERIMENTAL DA INTERAÇÃO AÇO-CONCRETO POR ADERÊNCIA;LUIZ CARLOS PINTO DA SILVA FILHO
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;SUSTENTABILIDADE DE PRODUTOS E PROCESSOS;JOSE LUIS DUARTE RIBEIRO
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Instituto de Avaliação de Tecnologias em Saúde;CARISI ANNE POLANCZYK
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Desenvolvimento de vacinas peptídicas embasadas em epítopos contra viroses suínas abortivas em circulação no Brasil.;ANDRE FELIPE STRECK
