Sigla da IES;Instituição;Publicação;Tipo de produção;Autores
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;EMULSIFICAÇÃO DO FLUCONAZOL UTILIZANDO LÍQUIDOS IÔNICOS COM CÁTIONS IMIDAZOLÍNEOS E COM CONTRAÍONS CARBOXILATOS;DISSERTAÇÃO;['LETICIA ZIBETTI']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Identificação de números primos com computadores quânticos;DISSERTAÇÃO;['VICTOR FERREIRA DOS SANTOS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Automating Risk of Bias Inference in  Clinical Studies;TESE;['ABEL CORREA DIAS']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;MILPDM: AN ARCHITECTURE FOR PREDICTIVE MAINTENANCE OF ASSETS IN THE MILITARY DOMAIN;TESE;['JOVANI DALZOCHIO']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;ENTENDENDO VANTAGENS E DESVANTAGENS EM APLICAÇÕES MONOLÍTICAS VERSUS O USO DE MICRO-SERVIÇOS;DISSERTAÇÃO;['DANIEL DOS SANTOS KRUG']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Inserção de óxido de grafeno em fotoeletrodos de ZnS crescidos sobre ZnO;DISSERTAÇÃO;['THIAGO KURZ PEDRA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Modelagem preditiva visando o suporte à operação de guindastes;DISSERTAÇÃO;['MARCOS VILLELA RODRIGUES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Sementes paleozóicas do Afloramento Cocuruto (Mariana Pimentel, RS): taxonomia, síndromes de dispersão, afinidades botânicas e significado bioestratigráfico;DISSERTAÇÃO;['RAUL SANTOS DO PRADO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;RELAÇÃO ENTRE CICLONES EXTRATROPICAIS E ONDAS DE CALOR MARINHAS NO SUDOESTE DO OCEANO ATLÂNTICO;TESE;['CARINA KLUG PADILHA REINKE']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;RECONSTITUIÇÃO PALEOAMBIENTAL E PALEOECOLÓGICA DO TRIÁSSICO DO RIO GRANDE DO SUL COM BASE EM EVIDÊNCIAS GEOQUÍMICAS EM DENTES DE TETRÁPODES;TESE;['LEONARDO CORECCO DE QUEIROZ']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Balanceamento de Carga Baseado em Divisão de Tarefas Multimídia para RSSF Reativas;TESE;['WESLEN SCHIAVON DE SOUZA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;"""Astrossismologia de estrelas anãs brancas pulsantes de baixa massa""";TESE;['GABRIEL LAUFFER RAMOS']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;DIVERSITY IN VIRTUAL HUMANS: UNVEILING BIASES IN HUMAN CHARACTERISTICS;TESE;['VICTOR FLAVIO DE ANDRADE ARAUJO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ContAudIT - Uma Abordagem de Auditoria Contínua com Blockchain para Gerenciamento de Mudanças em TI;DISSERTAÇÃO;['CARLOS EDUARDO DOS SANTOS FRAGA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DFA and DCCA estimation in the presence of missing data								 								 								;DISSERTAÇÃO;['ALISSON SILVA NEIMAIER']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;SÍNTESE DE DERIVADOS 1,2,3- TRIAZÓIS: OBTENÇÃO, CARACTERIZAÇÃO E ATIVIDADE TOXICOLÓGICA;DISSERTAÇÃO;['ELBA LIXINSKI GUTTERRES']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Planejamento de Próximo Melhor Ponto de Vista com Imagens Multi-domínio Baseado em Aprendizado por Reforço Profundo;DISSERTAÇÃO;['MATHEUS GONCALVES MATEUS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Uma Reflexão em Ciência de Dados sobre o Comportamento de Compra e Sistemas de Recomendação Explicáveis;DISSERTAÇÃO;['CLAUDIA FRANCESCA SUAREZ MARISCAL']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; Areference ontology of portions of matter;DISSERTAÇÃO;['LUCAS VALADARES VIEIRA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Abordagem IoT PD-RPM: Promovendo Aderência à Diálise Peritoneal Considerando o Cenário da Internet das Coisas;TESE;['ROGERIO DA COSTA ALBANDES']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Biorremediação de micotoxinas nas águas residuais do cultivo do arroz;TESE;['JULIANE NATALIA LIMA DA SILVA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;+Ludus: Inclusão e Aprendizagem Através de Jogos Digitais para Crianças com TEA;TESE;['MARCELO DA SILVEIRA SIEDLER']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;INTEGRAÇÃO DE DADOS DE CERTIFICAÇÃO EM SUSTENTABILIDADE  AMBIENTAL NA INFRAESTRUTURA DE DADOS ESPACIAIS DO MUNICÍPIO DE  PORTO ALEGRE  ;DISSERTAÇÃO;['WANESSA MEZZOMO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;ABSAuDA - Análise de Sentimentos baseado em Aspectos utilizando Análise de Dependência.;DISSERTAÇÃO;['FRANCISCO DIAS FRANCO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;":"" DIVERSIDADE E DISTRIBUIÇÃO DOS TALIÁCEOS (TUNICATA, THALIACEA), NA PLATAFORMA EXTERNA E TALUDE SUDESTE E SUL DO BRASIL";DISSERTAÇÃO;['DOUGLAS DA SILVA RODRIGUES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ANÁLISE DE MICROESTRUTURA DENTÁRIA E ÓSSEA EM MESOSAURIDAE: IMPLICAÇÕES NA TAXONOMIA, ONTOGENIA E PALEOECOLOGIA DO GRUPO;TESE;['THIAGO CARLISBINO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;A influência dos parâmetros físicos sobre o ictioplâncton mesopelágico do Atlântico Sudoeste;DISSERTAÇÃO;['VERONICA FERNANDES COSTA']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;VISUALIZAÇÃO DE DADOS FALTANTES PARA MELHORIA DA QUALIDADE DOS CONJUNTOS DE DADOS;DISSERTAÇÃO;['LEANDRO DE OLIVEIRA ALFONSO']
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;ONTOOBADI: UMA ONTOLOGIA PARA REPOSITÓRIOS DE OBJETOS DE APRENDIZAGEM DIGITAIS;DISSERTAÇÃO;['SAMUEL MULLER FORRATI']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ANÁLISE ESTRATIGRÁFICA DE SUCESSÕES VULCÂNICAS: UMA ABORDAGEM MULTIPROXY NA ILHA DA TRINDADE;TESE;['NATALIA GAUER PASQUALON']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;ENGENHARIA DE CRISTAIS: ESTUDO SUPRAMOLECULAR DE 1-, 1,3-BIS E 1,3,5-TRIS (CARBOXAMIDA)BENZENOS CONTENDO SUBSTITUINTES AMINOÁCIDOS;TESE;['PRISCILA SANTOS VIEIRA DE LIMA']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;RISK SITUATION DETECTOR FOR ELDERLY PEOPLE BASED ON TIME-SERIES ANALYSIS;TESE;['MAICON DIOGO MUCH']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;HEALCITY: USANDO DADOS DE SINAIS VITAIS DOS CIDADÃOS E A TÉCNICA DE ELASTICIDADE PARA GERÊNCIA DE AMBIENTES DE SAÚDE NO CONTEXTO DE CIDADES INTELIGENTES;TESE;['GABRIEL SOUTO FISCHER']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;Arquitetura para identificação de pragas em imagens utilizando aprendizado profundo;TESE;['MARIA ELOISA MIGNONI']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PerfResolv: Analisando o Desempenho de Resolvedores DNS Públicos em Relação à Popularidade de Domínios;DISSERTAÇÃO;['MARCELO ALMEIDA DA SILVA']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;Estudos potenciais e radiométricos aplicados às regiões offshore e onshore das bacias de Pelotas (Brasil) e do SW da África;TESE;['CLAUDIA DOMINGUES TEIXEIRA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;SÍNTESE DE POLÍMEROS E COPOLÍMEROS EM BLOCO ANFÍFILICOS DE POLI( -CAPROLACTONA) E POLI(METACRILATO DE 2-HIDROXIETILA) UTILIZANDO INICIADORES LIPÍDICOS;TESE;['JULIANA RODRIGUES ISIDORO']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;AVALIAÇÃO DO EMPREGO DA RADIAÇÃO MICRO-ONDAS PARA A PIRÓLISE DE CASCA DE ARROZ E OBTENÇÃO DE PRODUTOS COM MAIOR VALOR AGREGADO;DISSERTAÇÃO;['MARIANGELA BRUCH DOS SANTOS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CARACTERIZAÇÃO DE DEPÓSITOS DE MINERAIS PESADOS RICOS EM  TITÂNIO NO LITORAL DO ESTADO DO RIO GRANDE DO SUL A PARTIR DE  DADOS DE SENSORIAMENTO REMOTO TERMAL ORBITAL E PROXIMAL ;TESE;['GABRIEL PRATES HALLAL']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;EFEITOS DA ADIÇÃO DE ÁCIDO CÍTRICO E CELULOSE MICROFIBRILADA EM FILMES DE AMIDO TERMOPLÁSTICO PARA LIBERAÇÃO LENTA DE UREIA;DISSERTAÇÃO;['VANESSA SILVA DE LIMA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Estudo da adsorção de glifosato em grafeno e algumas de suas funcionalizações via teoria do funcional da densidade;DISSERTAÇÃO;['WANDERSON SOUZA ARAUJO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;O COMPLEXO PINHEIRO MACHADO: IMPLICAÇÕES NA EVOLUÇÃO DO TERRENO PELOTAS, CINTURÃO DOM FELICIANO, RS;TESE;['VIVIANNE ANDRADE BASTOS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;NEATRouter: A New Tool for 2D Global Routing;DISSERTAÇÃO;['LUIS ENRIQUE MURILLO VIZCARDO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Seleção de ordem em modelos GARMA: uma perspectiva bayesiana;DISSERTAÇÃO;['KATERINE ZUNIGA LASTRA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;TECNOLOGIA DO HIDROGÊNIO: CARVÕES DE BIOMASSAS COMO SUPORTES DE NANOPARTÍCULAS DE Pd APLICADOS EM ELETROCATÁLISE;DISSERTAÇÃO;['IDELSO CANDIDO PEREIRA JUNIOR']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PROTOMAGNETARES COMO POSSÍVEIS MOTORES CENTRAIS EM GRBS LONGOS COM EMISSÃO ESTENDIDA;DISSERTAÇÃO;['HENRIQUE DOMINGUES HIRSCH']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Modelagem, Simulação e Controle de Uma Plataforma Robótica Omnidirecional para Aplicação em Treinamento de Marcha;DISSERTAÇÃO;['VICTOR BARROS COCH']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Análise Preditiva do Nível de Água no Canal São Gonçalo Utilizando Modelos de Aprendizado de Máquina: Uma Abordagem Integrativa para a Gestão Hídrica;TESE;['PAULO RICARDO BARBIERI DUTRA LIMA']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;COGRAFOS COM INTERVALOS LIVRES DE AUTOVALORES;DISSERTAÇÃO;['RAFAEL MUHD PEDROSO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;APLICAÇÃO DE MODELOS IN SILICO PARA AVALIAÇÃO DA TOXICIDADE DE RESÍDUOS DE AGROTÓXICOS, FÁRMACOS E SEUS METABÓLITOS;DISSERTAÇÃO;['MARCELO SIQUEIRA ALVES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Número Mínimo de Autovalores Distintos de um Grafo;DISSERTAÇÃO;['VIRGINIA PIGATTO PEREIRA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Comparação de Ensemble de Funções de Escore em Docagem Molecular Proteína-Ligante;DISSERTAÇÃO;['MAURICIO DORNELES CALDEIRA BALBONI']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;EXPLORING SOFT ERROR SUSCEPTIBILITY IN FET DEVICES VIA GEANT4 SIMULATION;DISSERTAÇÃO;['ELISA GARCIA PEREIRA']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;REAÇÕES DE FLUORAÇÃO EM 5-ARIL(HETEROARIL)-7-(TRIFLUORMETIL)-2-METILPIRAZOLO[1,5-A]PIRIMIDINAS: SÍNTESE E ESTUDO FOTOFÍSICO;DISSERTAÇÃO;['JULIANE NASCIMENTO ARAUJO']
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;Explorando a Estratégia Serverless First no Desenvolvimento de Aplicativos em Nuvem;DISSERTAÇÃO;['ADRIANO PRADO CAVALHEIRO']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;RECOMMENDATIONS TO APPLY ARTIFICIAL INTELLIGENCE IN SOFTWARE ENGINEERING;TESE;['DOUGLAS MATOS DE SOUZA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;EXPLORING NITROGEN-CONTAINING HETEROCYCLIC COMPOUNDS: Synthesis of Amino Acid Derivatives as Enantioselective Sensors and Photocatalytic Synthesis of Phenanthridine in Bioorthogonal Medium;TESE;['NATALI PIRES DEBIA']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;A semantic interoperability model based on NLP for non-structured health data;TESE;['BLANDA HELENA DE MELLO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;MUDROCKZOOM: ANÁLISE COMPARATIVA ENTRE DATASETS REAIS E DEGRADADOS PARA SUPER-RESOLUÇÃO PETROGRÁFICA;DISSERTAÇÃO;['GABRIEL MONACO RIBEIRO DA SILVA']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;IMPULSE RESPONSE POSITION AND RESOLUTION INFLUENCE IN SPATIAL AUDIO FOR VIRTUAL REALITY: An Immersive Paleontological Experience;DISSERTAÇÃO;['GUSTAVO CORREA DE ALMEIDA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DESENVOLVIMENTO E CARACTERIZAÇÃO DE NANO E MICROESTRUTURAS PREPARADAS A PARTIR DE SURFACTANTES NATURAIS;DISSERTAÇÃO;['ALIAR ANACLETO JUNG']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PARTÍCULAS BIOINORGÂNICAS METAL-PROTEÍNA, COM AÇÃO ANTIMICROBIANA, INCORPORADAS EM FILMES DE CASEÍNA PARA APLICAÇÃO EM DOENÇAS DE PELE CANINA;DISSERTAÇÃO;['LEONARDO FERREIRA MEDEIROS']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;EFEITO HARTMAN E MECÂNICA BOHMIANA;TESE;['SAID JOSE LANTIGUA LOPEZ']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;AMOSTRAGEM PASSIVA COMO FERRAMENTA DE AVALIAÇÃO DE MICROCONTAMINANTES ORGÂNICOS NA COLUNA DE ÁGUA NO ESTUÁRIO DE SANTOS (SP);DISSERTAÇÃO;['ALAN CARLOS DE ALMEIDA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Sobre a reativação tardia de magnetares de milissegundos no cenário dos GRBs;DISSERTAÇÃO;['ANA BEATRIZ MINARI DOS SANTOS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Power-Efficient Motion Estimation Hardware Design for Real-Time UHD Video Compression in Mobile Devices: A Memory-Centered and CTB-Based Approach;TESE;['MURILO ROSCHILDT PERLEBERG']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;INFLUÊNCIAS NATURAIS E ANTRÓPICAS NA EVOLUÇÃO PALEOAMBIENTAL DO SISTEMA LAGUNAR PATOS-MIRIM AO LONGO DO HOLOCENO: UMA ANÁLISE MULTIPROXY;TESE;['ANDREIA SOUZA PEREIRA DE AVILA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;MOLUSCOS BIVALVES COMO SENTINELAS DA CONTAMINAÇÃO POR MICROPLÁSTICOS NO EXTREMO SUL DO BRASIL;DISSERTAÇÃO;['LAURA MARQUIS JANKAUSKAS']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;UMA METODOLOGIA PARA DESENVOLVER SIMULAÇÕES DISTRIBUÍDAS HLA USANDO DSEEP GUIADO A MODELOS COM OPM E UML;DISSERTAÇÃO;['JOAO GABRIEL DA CUNHA SCHITTLER']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Heterociclos para a formação de compostos fluorescentes, ligantes para metais de transição e borilação de fenóis;TESE;['CAMILA PORTO EBERSOL']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Interactive Exploration of User Data Based on Multiple Hypothesis Testing;DISSERTAÇÃO;['VICENTE NEJAR DE ALMEIDA']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;SÍNTESE, CARACTERIZAÇÃO E ESTRUTURA MOLECULAR DE COMPLEXOS DE COORDENAÇÃO DE COBRE(II) COM LIGANTES DERIVADOS DE 1,3,4-TIADIAZÓIS;TESE;['ANA JULIA ZIMMERMANN LONDERO']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;SÍNTESE DE PIRIDO/BENZO[b][1,4]SELENAZINAS E 1,3-SELENAZÓIS 2-ACIL-SUBSTITUÍDOS A PARTIR DE DISSELENETOS DE (BIS)ORTO-AMINO (HETERO)ARILA;TESE;['FELIPE BOZ SANTOS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Álgebras de Hopf fracas sobre anéis comutativos e extensões de Hopf-Ore primitivas fracas;DISSERTAÇÃO;['RAFAEL HAAG PETASNY']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;AGRUPAMENTO DE RECOMENDAÇÕES DE RACIOCÍNIO BASEADO EM CASOS NA RESPOSTA A INCIDENTES DE SEGURANÇA CIBERNÉTICA;DISSERTAÇÃO;['PATRICK ANDREI CARON GUERRA']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;ESTUDO COMPUTACIONAL  DAS PROPRIEDADES TERMODINÂMICAS E DINÂMICAS DA ÁGUA SOBRE SUPERFÍCIES BI- DIMENSIONAIS COM CORRUGAÇÃO;DISSERTAÇÃO;['RAFAEL GUSTAVO ROSSATTO']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Business Discovery: Como descobrir valor de negócio antecipadamente em desenvolvimento de software;DISSERTAÇÃO;['MATEUS KIRINUS PIVETA']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;SECURING APPLICATIONS IN NOC-BASED MANY-CORE SYSTEMS: A COMPREHENSIVE METHODOLOGY;TESE;['RAFAEL FOLLMANN FACCENDA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Graph Neural Networks for Clinical Risk Prediction Based on Patient Similarity Graphs;DISSERTAÇÃO;['HELOISA OSS BOLL']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;ORCA RT-TOOLS - A SUITE OF TOOLS TO SUPPORT REAL-TIME ANALYSIS ON MANYCORE SYSTEMS;TESE;['ANDERSON ROBERTO PINHEIRO DOMINGUES']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Desreplicação dos extratos brutos de vegetais dos gêneros Eugenia e Myrceugenia e atividades biológicas;TESE;['MATHEUS HENRIQUE OLIVEIRA DE SOUSA']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;ARQUITETURA DE MICRO-FRONTENDS BASEADA EM PRINCÍPIOS DE MICROSSERVIÇOS PARA O PDSA-RS;DISSERTAÇÃO;['RODRIGO PERLIN']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;MICROEXTRAÇÃO LÍQUIDO-LÍQUIDO DISPERSIVA EM FASE REVERSA COMBINADA COM HR-CS GF AAS PARA A DETERMINAÇÃO DE CROMO EM HIDRATANTE LABIAL;DISSERTAÇÃO;['ENILIN DE MENDONCA DE AZEVEDO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;SÍNTESE E CARACTERIZAÇÃO DE FORMIL DERIVADOS FOTOATIVOS POR TRANSFERÊNCIA PROTÔNICA INTRAMOLECULAR NO ESTADO EXCITADO (ESIPT);DISSERTAÇÃO;['LILIAN CAMARGO DA LUZ']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Em Busca de Navegação Socialmente Aceita e Confortável com Foco em Cadeiras de Rodas Autônomas;TESE;['KRISTOFER STIFT KAPPEL']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Parabolicidade de Variedades Riemannianas Sob a Perspectiva da Teoria do Potencial;DISSERTAÇÃO;['LUIZA DE PIZZOL']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Provendo Eficiência Energética na Codificação de Vídeo usando Subtratores Aproximados na Predição Interquadros;TESE;['RAFAEL DOS SANTOS FERREIRA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Efeito de campos magnéticos na rede de ising triangular frustrada;DISSERTAÇÃO;['MATEUS BARCELLOS DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Explorando a Fronteira da Tomada de Decisões: Realidade Virtual e Habilidades Espaciais no Planejamento Estratégico;DISSERTAÇÃO;['JERSON GERALDO NETO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Aprendizagem Temporal Neuro-simbólica em Redes de Tensores Lógicos;DISSERTAÇÃO;['ANDRE LUCIANO RAKOWSKI']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;CATÁLOGO DE MELHORES PRÁTICAS DE GESTÃO DE PESSOAS EM PROJETOS DE DESENVOLVIMENTO DE SOFTWARE;DISSERTAÇÃO;['MARCELO FALKOWSKI BURKARD']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Efficient Constraint-Based Approach for Endoscopic Surgery Simulation;DISSERTAÇÃO;['MARCELO GOMES MARTINS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;A CORAGEM DE DESALOJAR-SE DE CONCEITOS DO ENSINO DE CIÊNCIAS DA NATUREZA E SEUS DESAFIOS PARA A FORMAÇÃO DOCENTE;TESE;['MARIANA STEGUES MARASCA DOS SANTOS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Development of Methods for Halogen and Sulfur Determination, Speciation and Bioavailability Assessment in Seafood;TESE;['FERNANDA PITT BALBINOT']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;AIDA: UMA ARQUITETURA INTELIGENTE PARA GERENCIAMENTO DE DIABETES;TESE;['LUIS CLAUDIO GUBERT']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;RELAÇÕES ENTRE A PERMEABILIDADE E A EROSÃO COSTEIRA NO LITORAL NORTE DO RIO GRANDE DO SUL;TESE;['ELAINE BARONI DE OLIVEIRA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Frequency Adjustment of Triangle Meshes;DISSERTAÇÃO;['FELIPE EINSFELD KERSTING']
