Sigla da IES;Instituição;Publicação;Tipo de produção;Autores
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;HIDROGÉIS DE ALGINATO PARA BIOIMPRESSÃO 3D: UM ESTUDO EXPLORATÓRIO.;DISSERTAÇÃO;['NATALIA KOHLRAUSCH VERNETTI DOS SANTOS']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;VIBES: A COMPUTATIONAL MODEL FOR STUDENT BEHAVIOR INFERENCE THROUGH USER-DEFINED BEHAVIORS AND CONTEXT AWARENESS;DISSERTAÇÃO;['LUIS GUILHERME EICH']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Captação  de  água  atmosférica  utilizando  nanomateriais (Atmospheric  Water  Harvesting  Using Nanomaterials);TESE;['FERNANDA RODRIGUES LEIVAS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;AGROTÓXICOS EM AMOSTRAS DE ÁGUA E SEDIMENTO: ESTUDO DE MÉTODOS ANALÍTICOS E INVESTIGAÇÃO DA OCORRÊNCIA NA BACIA HIDROGRÁFICA DO ARROIO SÃO LOURENÇO;TESE;['JULIANE MARQUES DOS SANTOS']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;ARMAZENAMENTO DE DADOS EM APPENDABLE-BLOCK BLOCKCHAIN: CASO DE USO PARA A GESTÃO DO CICLO DE VIDA DE DISPOSITIVOS;DISSERTAÇÃO;['RODRIGO WETZEL SILVEIRA']
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;CoderBot: um assistente virtual para apoiar a aprendizagem de programação por meio de worked examples;DISSERTAÇÃO;['RENATO DE SOUZA GARCIA']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;ENHANCING LIFETIME RELIABILITY OF MANYCORE SYSTEMS THROUGH REINFORCEMENT LEARNING-BASED TASK MANAGEMENT;TESE;['IACANA IANISKI WEBER']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;CARCAÇAS ENCALHADAS COMO INDICADORES DA INTERAÇÃO DA MEGAFAUNA COM A PESCA: UM ESTUDO DE CASO COM O LEÃO-MARINHO -SUL-AMERICANO NO EXTREMO SUL DO BRASIL;DISSERTAÇÃO;['CAIO RIBEIRO SOARES OLIVEIRA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;SÍNTESE DE NANOPARTÍCULAS MULTIFUNCIONAIS COM POTENCIAL APLICAÇÃO EM MATERIAIS CONDUTORES;DISSERTAÇÃO;['ANA PAULA SOARES ZANATTA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Recursos Didáticos Acessíveis com Foco na Deficiência Visual: uma abordagem baseada na Internet das Coisas;DISSERTAÇÃO;['DERLAIN MONTEIRO DE LEMOS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Metaciência da Computação: Um Estudo Sobre Taxonomia de Pesquisa;TESE;['ALESSANDER OSORIO']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA; Síntese de 3 e 4-(organosselenil)-quinolinas via reação de  ciclização intramolecular;TESE;['GUILHERME LUTZ DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;SÍNTESE REGIOSSELETIVA DE CALCOGENOFURANOS POLISSUBSTITUÍDOS MEDIADA POR LUZ VISÍVEL;TESE;['BIANCA THAIS DALBERTO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;A evolução da mineração de processos no Brasil: Uma revisão sistemática da literatura;DISSERTAÇÃO;['TASSIANE GIACOMELLI DINKOWSKI']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; Anapproach based on language models and  natural language definitions for relationship  classification;DISSERTAÇÃO;['MARINA MARTINS AMORIM']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;"""Ecologia trófica de Gymnoscopelus bolini e Lepidophanes guentheri (Myctophidae: Myctophiformes) no Atlântico Sudoeste Subtropical”.";DISSERTAÇÃO;['LAURA ALMA SAMPAIO MORAES DA COSTA']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;LODUS-HEALTH: UMA FERRAMENTA PARA SIMULAÇÃO DO FLUXO DE PACIENTES NOS LEITOS DOS HOSPITAIS DE PORTO ALEGRE.;DISSERTAÇÃO;['GABRIEL VAZ DE SOUZA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Grafos com poucos autovalores distintos;TESE;['NELCY ESPERANZA AREVALO BAQUERO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Dedicated Hardware Architectures for the Affine Motion Estimation of Versatile Video Coding Video Standard for Real-Time UHD Videos;DISSERTAÇÃO;['MARCELLO MORALES MUNOZ']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;TOLERÂNCIA DO MICROCRUSTÁCEO Artemia franciscana AOS METAIS: UMA ABORDAGEM INTEGRADA DE ANÁLISE TOXICOLÓGICA, PROCESSOS TOXICOCINÉTICOS E TOXICODINÂMICOS E MECANISMOS MOLECULARES;TESE;['RAFAEL GREGORIO PINTO HIDROGO']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UM MODELO MULTINÍVEL PARA ESTRUTURAÇÃO DE INFORMAÇÕES CONTIDAS EM EVOLUÇÕES DE PRONTUÁRIOS ESCRITOS EM TEXTO LIVRE;TESE;['JEZER MACHADO DE OLIVEIRA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Método ANN-MoC para problemas de transporte de partículas neutras em geometria 1D;DISSERTAÇÃO;['AUGUSTO TCHANTCHALAM']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Designing and Implementing Digital Twins with Cloud and Edge Computing: Challenges and Opportunities;DISSERTAÇÃO;['FRANCISCO PAIVA KNEBEL']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;In-network computing: overcoming constraints, failures, and configuration challenges;TESE;['RICARDO PARIZOTTO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;O EFEITO DE EVENTOS EXTREMOS DE SALINIDADENOICTIOPLÂNCTON ESTUARINO E COSTEIRO;DISSERTAÇÃO;['RUAN MATHEUS TEIXEIRA SOARES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Estratégia Multialvo: Híbridos Lofina-Ácido Micofenólico com possíveis propriedades anticolinesterásicas, antioxidantes e antiagregação para a Doença de Alzheimer;DISSERTAÇÃO;['GUILHERME CARTAXO DE LIMA GOSSLING']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Simulação de uma Célula a Combustível a Etanol Direto por meio de Diferenças Finitas;DISSERTAÇÃO;['NEEMIAS RODRIGUES DE VARGAS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Hidrogenação catalítica do CO2 para a produção de ácido fórmico utilizando complexos de rutênio(II) contendo ligantes aciltioureia na presença de líquido iônico;TESE;['LUCIELLE CODEIM DRESCH']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;AVALIAÇÃO DA PRODUTIVIDADE PRIMÁRIA BRUTA DE VEGETAÇÃO  CAMPESTRE NO BIOMA PAMPA BRASILEIRO: INTEGRAÇÃO DE DADOS DE  CAMPO, TORRES DE FLUXO E SENSORIAMENTO REMOTO;DISSERTAÇÃO;['JUAN CARLOS GUERRA BLAS']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;PLANEJAMENTO BASEADO EM CASOS PARA PATHFINDING ENGANOSO EM TERRENOS COM TOPOGRAFIA;DISSERTAÇÃO;['CRHISTOPHER LENHARD']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;“ALTERAÇÕES DE LONGO PRAZO NA DINÂMICA POPULACIONAL EM AVALIAÇÕES DE ESTOQUES DE PEIXES DEMERSAIS INTENSAMENTE EXPLORADOS NO SUL DO BRASIL.”,;TESE;['EIDI KIKUCHI SANTOS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Eletrodo modificado com filme de biochar de soja aplicado a determinação voltamétrica de cafeína;DISSERTAÇÃO;['CAROLINE ATHAIDES MILER']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;MUDANÇAS RELATIVAS NO NÍVEL DE BASE E EVOLUÇÃO RESULTANTE DE UM SISTEMA LAGUNAR HOLOCÊNICO NO EXTREMO SUL DO BRASIL;DISSERTAÇÃO;['VERIDIANA OLIVEIRA DOS SANTOS']
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;Uma API Gateway para Controle de Acesso baseado em Arquitetura para Microsserviços;DISSERTAÇÃO;['RODRIGO CARGNELUTTI']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Generalized Differences Methods for the fractional Laplacian and equations involving it;TESE;['GUILHERME FIORIN FORNEL']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;"""Desvendando o mecanismo de armazenamento de hidrogênio em nanoestruturas metálicas"" (""Unraveling the hydrogen storage mechanism in metallic nanostructures"")";TESE;['LIVIA PUGENS MATTE']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;IMPLEMENTAÇÃO DE METODOLOGIAS SUSTENTÁVEIS PARA A DETERMINAÇÃO DE FÁRMACOS, AGROTÓXICOS E COMPOSTOS ODORÍFEROS EM ÁGUAS SUPERFICIAIS;DISSERTAÇÃO;['NICOLE HAAS LAZZARI']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;ÁREAS MARINHAS PROTEGIDAS SOB AMEAÇA DE MICROPLÁSTICOS: UMA ABORDAGEM MULTI-ESCALAR;TESE;['BEATRIZ ZACHELLO NUNES']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;CLIMATOLOGIA DA TEMPERATURA DA ALTA TROPOSFERA E BAIXA ESTRATOSFERA NA REGIÃO SUL DA AMÉRICA DO SUL;DISSERTAÇÃO;['MARCO ANTONIO GODINHO DOS REIS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Novas Alternativas Catalíticas para a Síntese de Compostos Heterocíclicos Nitrogenados;TESE;['LUIZ HENRIQUE DAPPER']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;NASP - NETWORK SLICE AS A SERVICE PLATFORM FOR NEW-GENERATION NETWORKS BEYOND 5G;DISSERTAÇÃO;['FELIPE HAUSCHILD GRINGS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Selenilação de 2-arilimidazo[1,2-a]piridinas promovida por Luz Visível utilizando Ácidos Arilselenínicos;DISSERTAÇÃO;['CAROLINE SIGNORINI GOMES']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;LEVERAGING NETWORK-WIDE ORCHESTRATION IN PROGRAMMABLE NETWORKS FOR ENHANCED NIDS PERFORMANCE;DISSERTAÇÃO;['HENRIQUE BECKER BRUM']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;B-TRACK: A MODEL FOR ASSISTING IN NON-COMMUNICABLE DISEASES THROUGH HUMAN BEHAVIOR ANALYSIS;TESE;['LUCAS PFEIFFER SALOMAO DIAS']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Distribuição de cromo e tálio em suplementos alimentares e águas estuarinas empregando voltametria associada à decomposição de amostras por radiação uv e de micro-ondas;TESE;['IGOR MARTINEZ TESSELE']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Implementação de Programas de Formação Continuada para o Domínio de Tecnologias Educacionais: Análise de Percepções de Educadores sobre o Programa Letramento Digital e Criativo;TESE;['DIRCEU ANTONIO MARASCHIN JUNIOR']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Dinâmica e influência de fatores ambientais e antrópicos no transporte e distribuição de microplásticos no estuário do rio Tramandaí;DISSERTAÇÃO;['VANESSA FONTANA FONSECA']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;GAMIEFECTS 2.0: UM FRAMEWORK PARA AVALIAR APRENDIZAGEM A PARTIR DO USO DA GAMIFICAÇÃO;DISSERTAÇÃO;['MARIA RITA OLIVEIRA BARNASKI']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Design of a Blockchain-based Secure Storage Architecture for Resource-Constrained Healthcare;DISSERTAÇÃO;['LAURA RODRIGUES SOARES']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;BIOMECÂNICA DA NATAÇÃO E ALIMENTAÇÃO DA MEDUSA Olindias sambaquiensis (CNIDARIA, HYDROZOA) DETERMINAM SUA DIETA E SELETIVIDADE DE PRESAS;DISSERTAÇÃO;['VITORIA RODRIGUES DE LEMOS']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;ADAPTIVE NETWORK MANAGEMENT IN 6G O-RAN: A Framework for Dynamic User Demands with Energy Efficiency Use-Case;TESE;['GUSTAVO ZANATTA BRUNO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Segmentação de Ervas Daninhas da Soja usando VT-Net: Um Modelo Transformer-Convolucional;DISSERTAÇÃO;['LUCAS DE SOUZA SILVA']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;A Value-based Approach for Information Classification;TESE;['LUCIANO IGNACZAK']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;UM ESTUDO SOBRE A RESPOSTA FUNCIONAL EM MODELOS DISCRETOS PRESA PREDADOR;DISSERTAÇÃO;['RAVINE TAIS WENNINGKAMP']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ESTUDO ELETROQUÍMICO E ELETROANALÍTICO DO ANTICOAGULANTE ORAL EDOXABANA;TESE;['MANOELLY OLIVEIRA ROCHA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;DESENVOLVIMENTO DE FUNÇÕES EM AMBIENTE R PARA A AUTOMAÇÃO  DOS PROCESSOS DE PREVISÕES METEOROLÓGICAS DE CURTO PRAZO  UTILIZANDO DADOS DO GLOBAL ENSEMBLE FORECAST SYSTEM (GEFS) ;DISSERTAÇÃO;['BRUNO COELHO BULCAO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Avaliac¸ ˜ao da manutenc¸ ˜ao da estrutura secund´aria da melitina e Candida antarctica lipase B em sistemas contendo l´ıquidos iˆonicos atrav´es de Dinˆamica Molecular;TESE;['JESSE GUILHERME MARIANO NEUMANN']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;INTERAÇÃO ENTRE O BYPASSING E O OVERPASSING SEDIMENTAR NA PRAIA DO SANTINHO, ILHA DE SANTA CATARINA, SUL DO BRASIL;TESE;['MAIARA WERNER PINTO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Síntese de organocalcogenilcromenos e 9,10-bis(organocalcogenil)fenantrenos via reação de carbociclização promovida por Oxone®;TESE;['PAOLA DOS SANTOS HELLWIG']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;MAGMATISMO EDIACARANO PROLONGADO (630 - 578 MA) DO BLOCO ENCRUZILHADA: PETROLOGIA DOS SIENITOS E MONZONITOS NA TRANSIÇÃO DO ESTÁGIO PÓS-COLISIONAL PARA PÓS-OROGÊNICO, SETOR CENTRAL DO CINTURÃO DOM FELICIANO, RS, BRASIL;TESE;['DIONATAN FERRI PADILHA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CARACTERIZAÇÃO GEOQUÍMICA ORGÂNICA DA FORMAÇÃO BARRA VELHA (PRÉ-SAL, BACIA DE SANTOS);DISSERTAÇÃO;['RAFAELA LUANA LENZ']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CATALISADORES MONO- E BINUCLEARES DE Cr(III) CONTENDO BASES DE SCHIFF APLICADOS A PRODUÇÃO DE OLIGÔMEROS E POLIETILENO;TESE;['SABRINA MORAES DA SILVA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Voltametria de micropartículas imobilizadas aplicada a identificação de adulterantes em cocaína e mecanismos redox em estado sólido;TESE;['SABRINE DE ARAUJO AQUINO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Análise e Otimização do Algoritmo Criptográfico AES para Utilização em Aplicações IoT;DISSERTAÇÃO;['YURI SILVA VAZ']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DESENVOLVIMENTO DE UM CATALISADOR ENZIMÁTICO PARA A VALORIZAÇÃO DE RESÍDUOS DOMÉSTICOS DE ALIMENTOS;DISSERTAÇÃO;['CAMILA ANGELA GONZATTI']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;SOBRE A EXISTÊNCIA DE FOLHEAÇÕES POR SOLUÇÕES DO PROBLEMA EXTERIOR DE DIRICHLET PARA A EQUAÇÃO DAS HIPERSUPERFÍCIES MÍNIMAS;DISSERTAÇÃO;['FILIPE ALMEIDA PEDRA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;GEOFÍSICA APLICADA NA INVESTIGAÇÃO DO VULCANISMO EDIACARANO RODEIO VELHO – BACIA DO CAMAQUÃ, SUL DO BRASIL: DISTRIBUIÇÃO ESPACIAL E CONTROLE MORFOESTRUTURAL;DISSERTAÇÃO;['GABRIEL ENDRIZZI']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Reliability Evaluation of Low-Power Embedded Devices under Radiation;TESE;['PABLO RAFAEL BODMANN']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Fundamental Requirements of Digital Twins for  Production System in Oil and Gas Industry;DISSERTAÇÃO;['RICARDO DOS CASAES BELO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Optimizing for Adaptive CNNs on FPGAs: A Multi-Level Approach;TESE;['GUILHERME DOS SANTOS KOROL']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;MULTSURV: A MULTIMODAL DEEP LEARNING MODEL FOR HOSPITALIZED PATIENTS SURVIVAL ANALYSIS IN THE CONTEXT OF A PANDEMIC;TESE;['FELIPE ANDRE ZEISER']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;CLIMATOLOGY AND TRENDS OF SEVERE STORM ENVIRONMENTS IN SUBTROPICAL SOUTH AMERICA;TESE;['LETICIA DE OLIVEIRA DOS SANTOS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;"""Estudo das propriedades de diamantes policristalinos para uso em detectores de partículas de alta energia""";DISSERTAÇÃO;['MARCOS ANTONIO DE OLIVEIRA DEROS']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;COMPORTAMENTO MAGNÉTICO E EFEITO MAGNETOCALÓRICO DE NANOESTRUTURAS FRUSTRADAS DE ISING;DISSERTAÇÃO;['PIETRO FELIPE DIAS']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;INVESTIGAÇÃO DE UM EVENTO PROLONGADO DE TEMPESTADES SEVERAS NO ESTADO DE SÃO PAULO;DISSERTAÇÃO;['JULIA CREPALDI MUNHOZ']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;DETERMINAÇÃO MULTICLASSE DE RESÍDUOS DE ANTIMICROBIANOS EM SOLO EMPREGANDO QuEChERS MODIFICADO E UHPLC-MS/MS;TESE;['GABRIEL SEVERO DE CARVALHO']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;“CCCROP: MITIGATING CLIMATE CHANGE IMPACT THROUGH DATA-DRIVEN CROP RELOCATION AND OPTIMAL PLANTING DECISION;DISSERTAÇÃO;['WILIAN SEGATTO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;k-Robust CBS with Continuous Time for Multi-robot Coordination;DISSERTAÇÃO;['GUILHERME NOVAK MOTTA DAUDT']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;": "" Variabilidade de longo prazo (1996-2020) na abundância de juvenis do pampo Trachinotus marginatus e suas relações com fatores ambientais locais e climáticos”. ";DISSERTAÇÃO;['ANA LUIZA SANTOS ARAUJO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ESTUDO COMPARATIVO ENTRE O VULCANISMO MÁFICO MONOGENÉTICO DAS ZONAS VULCÂNICAS CENTRAL E SUL DOS ANDES ARGENTINOS;TESE;['FERNANDA SILVA SANTOS']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;USO DE MENSAGENS EM CADEIA APLICADOS NO PROBLEMA DO MULTICAST ATÔMICO GENUÍNO;DISSERTAÇÃO;['CARLOS RENAN SCHICK LOUZADA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;AVALIAÇÃO DA EFICÁCIA DA ÁREA DE PROTEÇÃO PARA O BOTO-DE-LAHILLE (Tursiops truncatus gephyreus) NO SUL DO BRASIL;DISSERTAÇÃO;['TIFANNY KESSIA FERREIRA DO NASCIMENTO']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;Caracterização de petrofácies e genese das rochas carbonáticas do reservatório Sapinhoá (Pré-sal, Bacia de Santos) e aplicação de apredizagem de máquina por meio de microscopia óptica e imagens digitais a partir de atributos permo-porosos.;TESE;['RITA FABIANE GUASINA DE OLIVEIRA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Desenvolvimento de Métodos Analíticos para Determinação Elementar e Fração Bioacessível em Carnes à base de Plantas por Espectrometria de Emissão Óptica com Plasma Induzido por Micro-ondas;DISSERTAÇÃO;['JESSICA DA ROSA PORTO']
UPF;UNIVERSIDADE DE PASSO FUNDO;DESENVOLVIMENTO E AVALIAÇÃO DE UM SERIOUS GAME PARA APOIO AO ENSINO DE SEMIOLOGIA NEUROLÓGICA;DISSERTAÇÃO;['CAROLINE MARINA RAMPANELLI']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;"""ASPECTOS DA ECOLOGIA TRÓFICA DA COMUNIDADE DE ELASMOBRÂNQUIOS DA COSTA DO RIO DE JANEIRO”";DISSERTAÇÃO;['LEONARDO DE OLIVEIRA SOARES']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;TUNING, MECHANISTIC ROUTES AND PERFORMANCE AMPLIFICATION OF MICROWAVE-RESPONSIVE IRON/COPPER CARBONACEOUS HETEROSTRUCTURES IN THE DEGRADATION OF PHARMACEUTICAL SUBSTANCES;TESE;['YASMIN VIEIRA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;EXTRAÇÃO INDUZIDA POR QUEBRA DE MICROEMULSÃO ASSOCIADA À DETERMINAÇÃO VOLTAMÉTRICA: UMA UNIÃO PROMISSORA PARA MONITORAR METAIS EM BIODIESEL;TESE;['CRISTIAN HENRIQUE KRAUSE']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;: “ÁCAROS NASAIS EM AVES MARINHAS E COSTEIRAS: DIVERSIDADE E RELAÇÕES PARASITOHOSPEDEIRO”;TESE;['SILVIA BAINY GASTAL']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Tempos de Mistura de Cadeias de Markov: Relações com outros indicadores e estimativas para o passeio aleatório no toro;DISSERTAÇÃO;['HUMBERTO DE LIMA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;AVALIAÇÃO DE MODELOS DE PREDIÇÃO DE MUDANÇAS DE USO DO SOLO  EM TRÊS BIOMAS BRASILEIROS;DISSERTAÇÃO;['MACLEIDI JUNIOR VARNIER']
