Sigla da IES;Instituição;Publicação;Tipo de produção;Autores
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Síntese de Derivados de Fluoresceína contendo Selênio: Ácido Arilselenínico como Agente Selenilante;DISSERTAÇÃO;['KETHELYN MACHADO DA ROSA']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;SIMULAÇÃO DE ESPALHAMENTO DE DOENÇAS EM ANIMAIS DE PRODUÇÃO: TRADUÇÃO DO MODELO NA LINGUAGEM R PARA PYTHON NA PLATAFORMA PDSA-RS;DISSERTAÇÃO;['RODRIGO SCHNEIDER']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Aplicação de Comando e Controle Ciente do Estado da Rede Através de Suporte SDN;DISSERTAÇÃO;['CARLOS ANDRE RODRIGUES DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Autonomous manipulator robot navigation to tidy up unknown environments;DISSERTAÇÃO;['LETICIA DOS SANTOS']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;ANÁLISE DA FUSÃO DE SENSORES PARA IDENTIFICAÇÃO DE ATIVIDADES DIÁRIAS;DISSERTAÇÃO;['JULIO ALEXANDER SIEG']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Estudos Forenses Empregando Microespectroscopia no Infravermelho Médio e Técnicas Quimiométricas;DISSERTAÇÃO;['VICTORIA ZAGNA DOS SANTOS']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;HUMAN-COMPUTER INTERACTION PATTERNS OF DESIGN FOR MULTILINGUALISM;TESE;['DIEGO MOREIRA DA ROSA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Desenvolvimento de um Sistema Integrado para Digitalização e Análise de Completude e Conformidade de Documentos Técnicos;DISSERTAÇÃO;['LUCAS SILVA MARCA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Producing Synthetic Instances for Textual Classification and Natural Language Inference;TESE;['LUCIANA REGINA BENCKE']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Characterizing Weight Perception in VR with Ungrounded Haptic Devices: A Study of Wrist Strain and Wrist Torque through Force-Feedback and Pendular Actuation;DISSERTAÇÃO;['FRANKLIN GIOVANI BASTIDAS CUYA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Parallelization of VVC Video Encoding Kernels using GP-GPUs;TESE;['IAGO COELHO STORCH']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;SÍNTESE DE ZEÓLITAS EMPREGANDO CÁTIONS AMÔNIO E IMIDAZÓLIO E APLICAÇÃO NA CONVERSÃO DE CO2A CARBONATOS CÍCLICOS;DISSERTAÇÃO;['ANDRESSA VIEIRA HILARIO']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;IMPACTOS DE TEMPESTADES SEVERAS NO SISTEMA ELÉTRICO DE ENERGIA DO PARANÁ: SA-MCS INDEX UMA FERRAMENTA FUNDAMENTAL DE ANÁLISE E REDUÇÃO DE CUSTOS;DISSERTAÇÃO;['ROBERTO JOSE SPISILA']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;LATENCY-AWARE SELF-ADAPTIVE MICRO-BATCHING TECHNIQUES FOR GPU-ACCELERATED STREAM PROCESSING;DISSERTAÇÃO;['RICARDO MACIEL LEONARCZYK']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UTILIZAÇÃO DE ULTRASSOM E CAMPO ELÉTRICO PARA OBTENÇÃO DOS POLÍMEROS DO AMIDO E SUA CARACTERIZAÇÃO FÍSICO-QUÍMICA;TESE;['DIANA ALVES DE SOUSA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;INFLUÊNCIA DE FATORES ESPAÇO-TEMPORAIS SOBRE AS CAPTURAS DE ESPI- NHEL E DISTRIBUIÇÃO DE RECURSOS PESQUEIROS PELÁGICOS: BIBLIOME- TRIA, MODELAGEM ESTATÍSTICA E APERFEIÇOAMENTO PESQUEIRO;TESE;['LUCAS DOS SANTOS RODRIGUES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Sistematização de metodologias para avaliação de metabólitos e produtos de transformação em amostras de águas superficiais;DISSERTAÇÃO;['TIAGO CORREA FEIJO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Determinação das seções de choque elásticas para colisões de pósitrons com as moléculas de N2, O2 e CO2 com a correção para o espalhamento em baixo ângulo;DISSERTAÇÃO;['SARAH ESTHER DA SILVA SAAB']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DISTRIBUIÇÃO DAS ÁGUAS-FONTE DA ÁGUA PROFUNDA DO ATLÂNTICO NORTE E DA ÁGUA DE FUNDO ANTÁRTICA NO OCEANO GLOBAL;DISSERTAÇÃO;['DAVID ANTONIO DE LIMA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Diferenciabilidade em todo ponto de soluções de viscosidade do ∞-laplaciano;DISSERTAÇÃO;['ANDRE RICKES']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;MODELAGEM DISCRETA DE TRANSIÇÃO EPITELIAL MESENQUIMAL: O PAPEL DA MATRIZ EXTRACELULAR;DISSERTAÇÃO;['LUISA VARGAS CASSOL']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;AVALIAÇÃO FONOLÓGICA PERSONALIZADA COM ESTRUTURA DE DADOS OTIMIZADA;DISSERTAÇÃO;['JOAO VICTOR BOLSSON MARQUES']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;MODELOS DE APRENDIZADO DE MÁQUINA PARA PREDIÇÃO DE ÓBITO DE PACIENTES EM HEMODIÁLISE;DISSERTAÇÃO;['DIEGO CANDIDO DE SOUZA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;AEROGÉIS HÍBRIDOS À BASE DE POLIVINILTRIMETÓXISILANO COM CADEIAS RETICULADAS: SÍNTESE, CARACTERIZAÇÃO E APLICAÇÕES;TESE;['MATHEUS COSTA CICHERO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;“Processos controladores dos fluxos de O2 E CO2 entre o oceano e a atmosfera na Patagônia Argentina”;DISSERTAÇÃO;['LUISA DE MORAES GARCIA']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;ODISSEU: UM MODELO PARA SERVIÇOS INTELIGENTES NA INDÚSTRIA 4.0 BASEADO EM ANÁLISE DE HISTÓRICOS DE CONTEXTOS;TESE;['HELDER MOREIRA ARRUDA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;EVOLUÇÃO AMBIENTAL E CLIMÁTICA DESDE O ÚLTIMO MÁXIMO GLACIAL DE REGIÕES COSTEIRAS DO SUL DA AMÉRICA DO SUL E SEUS IMPACTOS EM ECOSSISTEMAS NATIVOS – UM ESTUDO DE CASO COM BUTIAZAIS;TESE;['EDUARDO TREIN SALGADO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;A História e os Desafios das Mulheres Cientistas da Química e a Proposição de Atividades de Formação e de Ensino;DISSERTAÇÃO;['ANDRESSA SOARES BENTO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DESCRIÇÃO DOS ESTÁGIOS INICIAIS DA MIRAGAIA, POGONIAS COURBINA (LACEPÈDE, 1803);DISSERTAÇÃO;['LUCIANA BEATRIZ ANDRADE']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Quitosana funcionalizada com líquidos iônicos para adsorção de corantes;TESE;['JEAN CARLOS BAUER VIEIRA']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;MEPCA: A TECHNICAL MODEL TO IMPROVE ON-CHAIN ELECTRONIC HEALTH RECORDS PROCESSING;TESE;['FAUSTO NERI DA SILVA VANIN']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;REMOÇÃO DE CONTAMINANTE ORGÂNICO EM ÁGUA POR ADSORÇÃO COM CARVÃO DE CASCA DE PITAIA POLPA ROSA (HYLOCEREUS POLYRHIZUS);DISSERTAÇÃO;['LAISA TEIXEIRA DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;"""Estudo da interação entre nanopartículas polarizáveis"" (""Study of the interaction between patchy nanoparticles and surfaces"")";TESE;['MUHAMMAD ARFAN']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;SUPERFÍCIES POLIMÉRICAS INTELIGENTES PARA DETECÇÃO DE AMINAS BIOGÊNICAS;TESE;['DANIELE GOMES MULLER']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Soluções fracas de EDP’s semi-lineares elípticas envolvendo massa de Dirac;DISSERTAÇÃO;['GUSTAVO COPE']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; DR-Tools Code Health: Uma Abordagem  para Priorização de Smells para apoiar a  Manutenção e Evolução de Software;TESE;['GUILHERME SILVA DE LACERDA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Folheações de uma 3-variedade riemanniana por superfícies mínimas e aplicações no espaço hiperbóico;TESE;['MATHEUS PIMENTEL GOMES']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DETERMINAÇÃO MULTIRRESÍDUO DE AGROTÓXICOS EM PITAYA EMPREGANDO QuEChERS E GC-MS/MS;DISSERTAÇÃO;['TAINA MARIA SAUGO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;HETEROGENEIDADES EM ANÁLOGOS DE RESERVATÓRIOS COSTEIROS DA FORMAÇÃO RIO BONITO (EOPERMIANO), PORÇÃO SUL DA BACIA DO PARANÁ, COM BASE EM ANÁLISE ESTRATIGRÁFICA, MODELAGEM GEOLÓGICA E PETROGRAFIA SEDIMENTAR;TESE;['RICARDO MAAHS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ANÁLISE DAS TRANSIÇÕES DE COBERTURA E USO DA TERRA NO BIOMA PAMPA EM ÁREAS DE SUPRESSÃO DE FLORESTA, VEGETAÇÃO HERBÁCEA E ARBUSTIVA DE 1985 EM RELAÇÃO A 2022;DISSERTAÇÃO;['ANGELO DEL MESTRE DA ROCHA']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;PROGNOS: UM MODELO BASEADO EM HISTÓRICOS DE CONTEXTOS PARA PREDIÇÕES DE DISFUNÇÕES CARDIOVASCULARES PELA AUSCULTAÇÃO;TESE;['IVO SERGIO GUIMARAES BRITES']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;UMA ARQUITETURA DE PROCESSAMENTO DISTRIBUÍDO PARA ANÁLISE DE PROPAGAÇÃO DE DOENÇAS NA PDSA-RS;DISSERTAÇÃO;['DENILSON DOS SANTOS EBLING']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;DETERMINAÇÃO MULTICLASSE DE FÁRMACOS E PRODUTOS DE CUIDADO PESSOAL EM ÁGUA EMPREGANDO SPE E UHPLCMS/MS PARA AVALIAÇÃO DE RISCO AMBIENTAL;TESE;['JULIA ANTUNES DE OLIVEIRA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Divulgação Científica em um Centro de Ciência: Seus Efeitos e Desdobramentos;DISSERTAÇÃO;['BRUNA GABRIELE EICHHOLZ VIEIRA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;GEOMORFOMETRIA APLICADA À ANÁLISE DA ESTABILIDADE E  MOBILIDADE DOS INTERFLÚVIOS DAS BACIAS HIDROGRÁFICAS DO IBICUÍ E  JACUÍ, SUL DO BRASIL;DISSERTAÇÃO;['BEATRIZ DA ROSA CARGNIN']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;BIOACUMULAÇÃO DE SELÊNIO POR Escherichia coli: AVALIAÇÃO DA EXPOSIÇÃO A ESPÉCIES E CONCENTRAÇÕES DE SELÊNIO E NA PRESENÇA DE MERCÚRIO;TESE;['MICHELE POKULAT SAUER']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Um framework baseado em contêineres para sistemas multiagente abertos;TESE;['GUSTAVO LAMEIRAO DE LIMA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Optimizing Graph Processing Execution on NUMA Machines;TESE;['HIAGO MAYK GOMES DE ARAUJO ROCHA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Projetar: framework fundamentado em técnicas da Computação para construção de projetos de Feiras de Ciências para o Ensino Fundamental;TESE;['JULIA DE AVILA DOS SANTOS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Modelos matemáticos para diversas técnicas de controle da mosca-da-fruta;TESE;['POLIANA KENDERLI PACINI SELAU']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Simulação de Canais Quânticos e Medidas Gerais via Algoritmos de Preparação de Estados;TESE;['MARCELO SERRANO ZANETTI']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;AVALIAÇÃO DA DISPERSÃO DE POLUENTES ATMOSFÉRICOS NA REGIÃO DO DISTRITO INDUSTRIAL DE RIO GRANDE ATRAVÉS DE MODELOS NUMÉRICOS ;DISSERTAÇÃO;['LIA SALETE DA COSTA VAZ']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;CONTINUAL KNOWLEDGE DISTILLATION FOR HISTOPATHOLOGY;DISSERTAÇÃO;['JOAO BATISTA RODRIGUES NETO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Predição de um modelo SIR com taxa de infecção variante no tempo para diferentes períodos;TESE;['WALTER MENDES HASELEIN']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;CONDIÇÕES PALEOCEANOGRÁFICAS DO OCEANO ATLÂNTICO SUL DURANTE O ALBIANO (CRETÁCEO INFERIOR): RESPOSTAS BIÓTICAS E GEOQUÍMICAS AOS EVENTOS ANÓXICOS OCEÂNICOS (OAEs);TESE;['MAURO DANIEL RODRIGUES BRUNO']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;INDEXAÇÃO DE CHAVES COMPOSTAS POR ÍNDICES APRENDIDOS;DISSERTAÇÃO;['THIAGO RODRIGUES GUEDES DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DUNAS FRONTAIS, CAMPOS DE DUNAS TRANSGRESSIVOS E LENÇÓIS DE AREIAS TRANSGRESSIVOS: RELAÇÕES BIOGEOMORFOLÓGICAS NA BARREIRA HOLOCÊNICA DOS CONCHEIROS -RS;TESE;['DEBORA SAYURI ZANCHI WATANABE']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;MODELAGEM DAS POTENCIAIS ROTAS DE ORIGEM DE MACROPLÁSTICOS MARINHOS EM UMA PRAIA ADJACENTE AO ESTUÁRIO DA LAGOA DOS PATOS, SUL DO BRASIL;DISSERTAÇÃO;['ANA CAROLINA SOARES FARIAS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DETECÇÃO DE POLUIÇÃO PLÁSTICA POR MEIO DE MODELOS DE TRANSFERÊNCIA RADIATIVA E APRENDIZADO DE MÁQUINA;DISSERTAÇÃO;['DOUGLAS GALIMBERTI BARBOSA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Exploring the impact of hardware technologies on effective bandwidth: a case study on a Brazilian mobile web network;DISSERTAÇÃO;['EDUARDO CHAVES PAIM']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;VARIABILIDADE GEOQUÍMICA DA MATÉRIA ORGÂNICA EM FOLHELHOS E SILTITOS AFETADOS POR INTRUSÕES ÍGNEAS, BACIA DO PARANÁ, BRASIL;DISSERTAÇÃO;['JEISSON FABIAN SANABRIA VARGAS']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;ANÁLISE DE EVENTO DE GRANIZO NO RIO GRANDE DO SUL ATRAVÉS DE SIMULAÇÕES EM ESCALA DE TEMPESTADE NO MODELO WRF;TESE;['MURILO MACHADO LOPES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;MiddleFog: A middleware to mitigate the latency in IoT communication devices;DISSERTAÇÃO;['DESIREE DOS SANTOS']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;SOBRE A QUALIDADE DE CENÁRIOS DO BDD: UMA INVESTIGAÇÃO USANDO PESQUISA-AÇÃO;DISSERTAÇÃO;['NATALYA MARJANA GOELZER']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; Pathfinding Problem Solutions in Cubic  Grids with 3D Neighborhood Expansion;DISSERTAÇÃO;['TAUANA OHLAND DOS SANTOS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; Unique Table Implementation and  the Performance of Binary Decision  Diagram Packages;DISSERTAÇÃO;['JOAO PAULO NESPOLO']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;CRIAÇÃO IMERSIVA DE ROTEIROS PARA TREINAMENTOS DE TAREFAS MANUAIS;DISSERTAÇÃO;['VINICIUS CHRISOSTHEMOS TEIXEIRA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Deterioração Clínica em Unidades de Terapia Intensiva: uma Abordagem de Predição de Situação dos Pacientes Baseada em Inteligência Computacional;TESE;['ALEXANDRE RENATO RODRIGUES DE SOUZA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;“Caracterização eletrônica e estrutural de Nanopartículas de Au depositadas em SiO2/Si” (“Electronic and Structural Characterization of Au Nanoparticles Deposited on SiO2/Si”);DISSERTAÇÃO;['FERNANDO JUAREZ CHOQUE']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;IOCHAIN: A DECENTRALIZED MULTICHAIN-BASED ARCHITECTURE FOR SMART AGRICULTURE;DISSERTAÇÃO;['HENDRICK BATAGLIN GONCALVES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Adsorção molecular em subnanoclusters de metais de transição: um estudo via teoria do funcional da densidade;DISSERTAÇÃO;['JOAO PAULO CERQUEIRA DOS SANTOS FELIX']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;An Evaluation of Immersive Infographics for News Reporting: Quantifying the Effect of Mobile AR Concrete Scales Infographics on Volume Understanding;DISSERTAÇÃO;['MARIANE TEIXEIRA GIAMBASTIANI']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;ACCELERATION OF AEAD ALGORITHMS FOR RESOURCE-CONSTRAINED EMBEDDED DEVICES;DISSERTAÇÃO;['NICOLAS SILVA MOURA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Avaliação de incertezas associadas à obtenção de evapotranspiração por sensoriamento remoto no bioma Pampa;TESE;['PAMELA SUELEN KAFER']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Avaliação de Qualidade em Imagens de Documentos Técnicos usando Fusão de Métricas;DISSERTAÇÃO;['LUCAS VIANA DA SILVA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Identificação de Caminhos de Aprendizagem Visando o Apoio na Construção dos Projetos Pedagógicos de Cursos da UFPel;DISSERTAÇÃO;['VINICIUS VIEIRA DOS SANTOS']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;DYNAMIC PROVISIONING OF CONTAINER REGISTRIES IN EDGE COMPUTING INFRASTRUCTURES;DISSERTAÇÃO;['LUCAS ROGES DE ARAUJO']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Estudo dos efeitos do desalinhamento nos eixos de anisotropia em curvas de magnetoimpedância para sistemas de NiFe/FeMn com Exchange Bias;TESE;['JOAO PAULO GAZOLA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;INSIGHTS GEOQUÍMICOS SOBRE AS INFLUÊNCIAS PALEOAMBIENTAIS NA DEPOSIÇÃO DE FOLHELHOS RICOS EM MATÉRIA ORGÂNICA NO MAR IRATI-WHITEHILL, SUL DA BACIA DO PARANÁ;DISSERTAÇÃO;['JHENIFER CAROLINE DA SILVA PAIM']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Problemas do tipo Erdös-Rothschild para grafos;TESE;['MATHEUS MICADEI MARZO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Trajetória, destino e magnitude das descargas continentais de microplástico para a plataforma interna: estudo de caso da pluma costeira da Lagoa dos Patos;DISSERTAÇÃO;['CAROLINA RODRIGUEZ PEREZ']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;“Simetrias de Noether do Modelo de Jackiw-Pi para Bicamada de Grafeno” (“Noether Symmetries for the Jackiw-Pi Model for Bilayer Graphene”);DISSERTAÇÃO;['JACKSON GALVAO BARBOSA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;"""O Ambiente Das Galáxias Compactas Massivas No Universo Local"" (""The Environment of Massive Compact Galaxies in the Local Universe"")";DISSERTAÇÃO;['BRUNO PEREIRA FERNANDES']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;AVALIAÇÃO DA PIRÓLISE ASSISTIDA POR MICRO-ONDAS PARA PRODUÇÃO DE GÁS, ÓLEO PIROLÍTICO E SÓLIDO A PARTIR DE RESÍDUOS DE POLIURETANO;DISSERTAÇÃO;['JOAO VITOR JACOBI']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;AVALIAÇÃO DO H2O2 PARA A DIGESTÃO DE INGREDIENTES FARMACÊUTICOS ATIVOS DA CLASSE DE ANTI-HIPERTENSIVOS PARA A DETERMINAÇÃO DE IMPUREZAS ELEMENTARES POR ICP-OES;TESE;['CAROLINE MATTE SENGER']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;PROXIES GEOQUÍMICOS PARA ANÁLISES PALEOCLIMÁTICAS E PALEOAMBIENTAIS: UMA ABORDAGEM AVALIATIVA E SUA APLICAÇÃO NO INTERVALO PERMO-CARBONÍFERO DA BACIA DO PARANÁ;TESE;['FRANCIELE AGNESA TRENTIN']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;Freya: An Events Prediction Model for Power Distribution Networks;TESE;['JORGE ARTHUR SCHNEIDER ARANDA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;ESTUDO DA QUÍMICA DE COORDENAÇÃO DE LIGANTES TIOSSEMICARBAZONAS COM NÍQUEL(II),  PALÁDIO(II) E PLATINA(II);TESE;['ANA PAULA LOPES DE MELO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;AVALIAÇÃO DA DISPERSÃO DA MATRIZ EM FASE SÓLIDA COMBINADA COM HR-CS FAAS PARA A DETERMINAÇÃO DE COBRE EM ALIMENTOS LÁCTEOS INFANTIS;DISSERTAÇÃO;['LISLIANE KICKOFEL']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;APLICAÇÕES DA MULTIESCALA ESPACIAL  NO SENSORIAMENTO REMOTO DA COR  DO OCEANO EM ÁGUAS COSTEIRAS ;TESE;['ANA PAULA PIAZZA FORGIARINI']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;GERAÇÃO DE IMAGENS DE RAIOS-X DO TÓRAX UTILIZANDO LATENT DIFFUSION MODELS;DISSERTAÇÃO;['DAVIDE CLODE DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Fatores de risco de letalidade e padrões espaciais da leptospirose no Brasil (2007-2019) ;TESE;['ALICE NARDONI MARTELI']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ARQUITETURA DEPOSICIONAL E PADRÕES DE PREENCHIMENTO DE BACIAS ENDORREICAS: ESTUDO DE CASO DA FORMAÇÃO RIO DO RASTO, BACIA DO PARANÁ, BRASIL, E DA FORMAÇÃO YAGUARÍ, BACIA DO NORTE, URUGUAI;TESE;['MONICA OLIVEIRA MANNA']
